id,title,price_gbp,rating,availability,page
1,A Light in the Attic,51.77,3,In stock,1
2,Tipping the Velvet,53.74,1,In stock,1
3,Soumission,50.1,1,In stock,1
4,Sharp Objects,47.82,4,In stock,1
5,Sapiens: A Brief History of Humankind,54.23,5,In stock,1
6,The Requiem Red,22.65,1,In stock,1
7,The Dirty Little Secrets of Getting Your Dream Job,33.34,4,In stock,1
8,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,In stock,1
9,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,In stock,1
10,The Black Maria,52.15,1,In stock,1
11,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,In stock,1
12,Shakespeare's Sonnets,20.66,4,In stock,1
13,Set Me Free,17.46,5,In stock,1
14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,In stock,1
15,Rip it Up and Start Again,35.02,5,In stock,1
16,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,In stock,1
17,Olio,23.88,1,In stock,1
18,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,In stock,1
19,Libertarianism for Beginners,51.33,2,In stock,1
20,It's Only the Himalayas,45.17,2,In stock,1
21,In Her Wake,12.84,1,In stock,2
22,How Music Works,37.32,2,In stock,2
23,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,In stock,2
24,Chase Me (Paris Nights #2),25.27,5,In stock,2
25,Black Dust,34.53,5,In stock,2
26,Birdsong: A Story in Pictures,54.64,3,In stock,2
27,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,In stock,2
28,Aladdin and His Wonderful Lamp,53.13,3,In stock,2
29,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,In stock,2
30,Wall and Piece,44.18,4,In stock,2
31,The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,In stock,2
32,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,In stock,2
33,The Elephant Tree,23.82,5,In stock,2
34,The Bear and the Piano,36.89,1,In stock,2
35,Sophie's World,15.94,5,In stock,2
36,Penny Maybe,33.29,3,In stock,2
37,Maude (1883-1993):She Grew Up with the country,18.02,2,In stock,2
38,"In a Dark, Dark Wood",19.63,1,In stock,2
39,Behind Closed Doors,52.22,4,In stock,2
40,You can't bury them all: Poems,33.63,2,In stock,2
41,Slow States of Collapse: Poems,57.31,3,In stock,3
42,Reasons to Stay Alive,26.41,2,In stock,3
43,Private Paris (Private #10),47.61,5,In stock,3
44,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,In stock,3
45,Without Borders (Wanderlove #1),45.07,2,In stock,3
46,When We Collided,31.77,1,In stock,3
47,"We Love You, Charlie Freeman",50.27,5,In stock,3
48,Untitled Collection: Sabbath Poems 2014,14.27,4,In stock,3
49,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,In stock,3
50,Unicorn Tracks,18.78,3,In stock,3
51,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,In stock,3
52,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,In stock,3
53,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,In stock,3
54,This One Summer,19.49,4,In stock,3
55,Thirst,17.27,5,In stock,3
56,The Torch Is Passed: A Harding Family Story,19.09,1,In stock,3
57,The Secret of Dreadwillow Carse,56.13,1,In stock,3
58,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,In stock,3
59,The Past Never Ends,56.5,4,In stock,3
60,The Natural History of Us (The Fine Art of Pretending #2),45.22,3,In stock,3
61,The Nameless City (The Nameless City #1),38.16,4,In stock,4
62,The Murder That Never Was (Forensic Instincts #5),54.11,3,In stock,4
63,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,In stock,4
64,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,In stock,4
65,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,In stock,4
66,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,In stock,4
67,The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,In stock,4
68,The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,In stock,4
69,The Death of Humanity: and the Case for Life,58.11,4,In stock,4
70,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,In stock,4
71,The Art Forger,40.76,3,In stock,4
72,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,In stock,4
73,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,In stock,4
74,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,In stock,4
75,Soul Reader,39.58,2,In stock,4
76,Security,39.25,2,In stock,4
77,"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,In stock,4
78,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,In stock,4
79,Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,In stock,4
80,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,In stock,4
81,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,In stock,5
82,Princess Between Worlds (Wide-Awake Princess #5),13.34,5,In stock,5
83,"Pop Gun War, Volume 1: Gift",18.97,1,In stock,5
84,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,In stock,5
85,Patience,10.16,3,In stock,5
86,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,In stock,5
87,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,In stock,5
88,Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,In stock,5
89,On a Midnight Clear,14.07,3,In stock,5
90,Obsidian (Lux #1),14.86,2,In stock,5
91,My Paris Kitchen: Recipes and Stories,33.37,2,In stock,5
92,Masks and Shadows,56.4,2,In stock,5
93,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,In stock,5
94,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,In stock,5
95,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,In stock,5
96,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,In stock,5
97,"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,In stock,5
98,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,In stock,5
99,Join,35.67,5,In stock,5
100,In the Country We Love: My Family Divided,22.0,4,In stock,5
101,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,5,In stock,6
102,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,In stock,6
103,I am a Hero Omnibus Volume 1,54.63,3,In stock,6
104,How to Be Miserable: 40 Strategies You Already Use,46.03,1,In stock,6
105,Her Backup Boyfriend (The Sorensen Family #1),33.97,1,In stock,6
106,"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,In stock,6
107,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,In stock,6
108,First and First (Five Boroughs #3),15.97,4,In stock,6
109,Fifty Shades Darker (Fifty Shades #2),21.96,1,In stock,6
110,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2,In stock,6
111,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,2,In stock,6
112,Danganronpa Volume 1,51.99,4,In stock,6
113,Crown of Midnight (Throne of Glass #2),43.29,3,In stock,6
114,"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,In stock,6
115,Camp Midnight,17.08,4,In stock,6
116,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,In stock,6
117,Burning,28.81,3,In stock,6
118,Bossypants,49.46,2,In stock,6
119,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,In stock,6
120,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2,In stock,6
121,Algorithms to Live By: The Computer Science of Human Decisions,30.81,1,In stock,7
122,A World of Flavor: Your Gluten Free Passport,42.95,1,In stock,7
123,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,5,In stock,7
124,A Murder in Time,16.64,1,In stock,7
125,A Flight of Arrows (The Pathfinders #2),55.53,5,In stock,7
126,A Fierce and Subtle Poison,28.13,4,In stock,7
127,A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,1,In stock,7
128,(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,5,In stock,7
129,You Are What You Love: The Spiritual Power of Habit,21.87,4,In stock,7
130,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,In stock,7
131,Tuesday Nights in 1980,21.04,2,In stock,7
132,Tracing Numbers on a Train,41.6,3,In stock,7
133,Throne of Glass (Throne of Glass #1),35.07,3,In stock,7
134,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1,In stock,7
135,Thirteen Reasons Why,52.72,1,In stock,7
136,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,4,In stock,7
137,The Wedding Dress,24.12,1,In stock,7
138,The Vacationers,42.15,4,In stock,7
139,The Third Wave: An Entrepreneur’s Vision of the Future,12.61,5,In stock,7
140,The Stranger,17.44,4,In stock,7
141,The Shadow Hero (The Shadow Hero),33.14,1,In stock,8
142,The Secret (The Secret #1),27.37,4,In stock,8
143,The Regional Office Is Under Attack!,51.36,5,In stock,8
144,The Psychopath Test: A Journey Through the Madness Industry,36.0,2,In stock,8
145,The Project,10.65,1,In stock,8
146,The Power of Now: A Guide to Spiritual Enlightenment,43.54,2,In stock,8
147,The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2,In stock,8
148,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,5,In stock,8
149,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,In stock,8
150,The Mistake (Off-Campus #2),43.29,3,In stock,8
151,The Matchmaker's Playbook (Wingmen Inc. #1),55.85,1,In stock,8
152,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,2,In stock,8
153,The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,1,In stock,8
154,The Kite Runner,41.82,4,In stock,8
155,The House by the Lake,36.95,1,In stock,8
156,The Glittering Court (The Glittering Court #1),44.28,1,In stock,8
157,The Girl on the Train,55.02,2,In stock,8
158,The Genius of Birds,17.24,1,In stock,8
159,The Emerald Mystery,23.15,2,In stock,8
160,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,1,In stock,8
161,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,3,In stock,9
162,The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5,In stock,9
163,The Art of War,33.34,5,In stock,9
164,The Argonauts,10.93,2,In stock,9
165,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,3,In stock,9
166,Suddenly in Love (Lake Haven #1),55.99,2,In stock,9
167,Something More Than This,16.24,4,In stock,9
168,Soft Apocalypse,26.12,2,In stock,9
169,So You've Been Publicly Shamed,12.23,2,In stock,9
170,Shoe Dog: A Memoir by the Creator of NIKE,23.99,2,In stock,9
