tweet_id,created_at,date,month,year,hour,weekday,author,tweet_text_raw,likes,retweets,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score,sentiment,sentiment_conf
t00000,2011-07-19 23:17:00,2011-07-19,2011-07,2011,23,Tuesday,jtimberlake,"In the current situation, 100% #askjt",47,61,0.0244,0.9027,0.0729,0.0485,Neutral,0.9027
t00001,2014-09-11 13:53:00,2014-09-11,2014-09,2014,13,Thursday,jimmyfallon,Pool Bowling with @RealHughJackman https://t.co/qQjWvngps2 #FallonTonight http://t.co/IEDGsQZ3hz,1678,600,0.003,0.9198,0.0773,0.0743,Neutral,0.9198
t00002,2017-01-12 13:37:00,2017-01-12,2017-01,2017,13,Thursday,jimmyfallon,"Stevie Wonder performs ""Isn't She Lovely"" & ""My Cherie Amour"" in a special medley for @FLOTUS https://t.co/alrsYiuH6f #FallonTonight",2702,593,0.0018,0.4746,0.5235,0.5217,Positive,0.5235
t00003,2015-04-09 17:59:00,2015-04-09,2015-04,2015,17,Thursday,jimmyfallon,The @Madonna performance tonight exceeds all expectations. You can see why Madonna is Madonna. Inspiring. #BitchImMadonna,2238,891,0.0056,0.0136,0.9808,0.9752,Positive,0.9808
t00004,2016-09-29 02:24:00,2016-09-29,2016-09,2016,2,Thursday,cnnbrk,"Man killed in officer-involved shooting in CA pointed a vape at a cop before being shot and tased, police said… https://t.co/zcHKGnMBJp",496,417,0.5646,0.4255,0.0099,-0.5547,Negative,0.5646
t00005,2016-09-30 17:10:00,2016-09-30,2016-09,2016,17,Friday,cnnbrk,"Wells Fargo's culture led bank to force some hourly employees to work late without overtime pay, former workers say. https://t.co/bdl8B6jUw7",402,331,0.6347,0.3534,0.0119,-0.6228,Negative,0.6347
t00006,2010-12-15 07:03:00,2010-12-15,2010-12,2010,7,Wednesday,twitter,And the award for the year's Most Retweeted Tweet goes to...@StephenAtHome! See the Top 10 here: http://t.co/kWIsGGE #Hindsight2010,171,276,0.0036,0.1825,0.814,0.8104,Positive,0.814
t00007,2014-01-06 02:57:00,2014-01-06,2014-01,2014,2,Monday,jimmyfallon,"So many great writers on our show. Tough to give them all props. But AD Miles, Mike Dicenzo, Gerard Bradford and Amy Ozols gave me 50 bucks.",828,142,0.0093,0.0284,0.9624,0.9531,Positive,0.9624
t00008,2016-10-09 16:25:00,2016-10-09,2016-10,2016,16,Sunday,jimmyfallon,Haaa. Youse. https://t.co/iWC0LNv2Bm,1779,203,0.0494,0.5744,0.3762,0.3268,Neutral,0.5744
t00009,2016-09-22 20:25:00,2016-09-22,2016-09,2016,20,Thursday,rihanna,.@fhollande Did you see my letter? Waiting on your answer! We need your leadership on #EducationCannotWait,26132,24276,0.0615,0.5017,0.4367,0.3752,Neutral,0.5017
t00010,2010-10-04 12:08:00,2010-10-04,2010-10,2010,12,Monday,cristiano,Strong showing from Real Madrid yesterday! #RealMadrid... http://say.ly/hpg3J3,69,266,0.0022,0.0337,0.9641,0.9619,Positive,0.9641
t00011,2013-11-27 18:38:00,2013-11-27,2013-11,2013,18,Wednesday,britneyspears,@bspearssource same!!!!!! :) #6DaysTillBritneyJean,105,74,0.0015,0.0371,0.9614,0.9599,Positive,0.9614
t00012,2016-03-17 19:13:00,2016-03-17,2016-03,2016,19,Thursday,arianagrande,baby you just gotta make up your mind that every lil thing is gonna be alright ♡,47984,29388,0.0175,0.1783,0.8042,0.7867,Positive,0.8042
t00013,2014-02-19 03:50:00,2014-02-19,2014-02,2014,3,Wednesday,jimmyfallon,@StevenHolcomb Congratulations! You were fantastic.,121,14,0.0054,0.0106,0.984,0.9786,Positive,0.984
t00014,2016-02-03 15:33:00,2016-02-03,2016-02,2016,15,Wednesday,jimmyfallon,"Excited to be back with new episodes! Tonight: Martin Scorsese, @GillianJacobs & music from @TheChainsmokers! #FallonTonight",2249,375,0.001,0.0116,0.9874,0.9863,Positive,0.9874
t00015,2015-11-27 00:48:00,2015-11-27,2015-11,2015,0,Friday,instagram,"Grab a seat at our Thanksgiving table. If you’re in the US, tap Explore to celebrate with us! #IGThanksgiving",2296,411,0.003,0.1726,0.8244,0.8214,Positive,0.8244
t00016,2014-05-30 00:03:00,2014-05-30,2014-05,2014,0,Friday,jimmyfallon,"“@mrskingle: @jimmyfallon @CanadiensMTL @NYRangers Sorry, Jimmy, what size jersey do you need? #GoHabsGo #NHLplayoffs” ha ha",629,155,0.1361,0.728,0.1359,-0.0002,Neutral,0.728
t00017,2015-12-21 22:44:00,2015-12-21,2015-12,2015,22,Monday,instagram,Featured submissions from this weekend’s hashtag project: #WHPwonderland https://t.co/3qhKTpxSHZ https://t.co/RHLoMYY00c,2163,492,0.0045,0.8334,0.1622,0.1577,Neutral,0.8334
t00018,2015-12-11 21:03:00,2015-12-11,2015-12,2015,21,Friday,twitter,"And the award for ""Longest Commute Home"" goes to: https://t.co/EUnjuFk1AL 🚀 https://t.co/5rN8eodgbD",1279,415,0.0028,0.3502,0.647,0.6442,Positive,0.647
t00019,2016-09-29 02:13:00,2016-09-29,2016-09,2016,2,Thursday,cnnbrk,Congress has cleared a bill to fund the government and the federal response to Zika through December 9 https://t.co/oZYdZ1e8PO,371,193,0.0062,0.8505,0.1433,0.1371,Neutral,0.8505
t00020,2014-08-27 20:37:00,2014-08-27,2014-08,2014,20,Wednesday,barackobama,"To celebrate the power of grassroots organizing, @OFA is giving away this free sticker. Get yours today: http://t.co/jYNyf68IsD",636,260,0.002,0.0906,0.9074,0.9054,Positive,0.9074
t00021,2014-10-02 17:47:00,2014-10-02,2014-10,2014,17,Thursday,rihanna,"Excited 2 perform at #TheConcertforValor in honor of America's veterans & their families on 11/11. Airs live from Washington, DC on @HBO.",6684,4345,0.0014,0.0129,0.9857,0.9843,Positive,0.9857
t00022,2012-08-07 10:03:00,2012-08-07,2012-08,2012,10,Tuesday,cristiano,I'm proud being named as the top player of the http://t.co/z55vCy1G 50. Thank you http://t.co/0mq6fNNp,1057,2513,0.0024,0.0129,0.9847,0.9824,Positive,0.9847
t00023,2011-03-08 06:02:00,2011-03-08,2011-03,2011,6,Tuesday,selenagomez,"@perezhilton awwwww thanks I hope you like it, miss you too",209,748,0.004,0.0144,0.9816,0.9776,Positive,0.9816
t00024,2016-12-07 03:30:00,2016-12-07,2016-12,2016,3,Wednesday,instagram,Fancy feet leap for #WHPmagic https://t.co/Q3zFTHzD4w,548,100,0.0059,0.2636,0.7305,0.7246,Positive,0.7305
t00025,2014-09-16 04:57:00,2014-09-16,2014-09,2014,4,Tuesday,ladygaga,"Nature Boy was composed in 1941 by eden ahbez, a wandering man from Brooklyn with long hair. It was recorded first by Nat King Cole in 1947.",3362,2052,0.008,0.8811,0.111,0.103,Neutral,0.8811
t00026,2016-02-23 02:17:00,2016-02-23,2016-02,2016,2,Tuesday,instagram,A portal to @Simone_Rocha_’s very personal work https://t.co/4QqCLKwb3X #LFW,1083,177,0.0047,0.7347,0.2607,0.256,Neutral,0.7347
t00027,2016-01-18 20:36:00,2016-01-18,2016-01,2016,20,Monday,theellenshow,Happy #MondayMotivation #MoodBooster https://t.co/079F91Ga5L,7271,2364,0.0029,0.014,0.9831,0.9802,Positive,0.9831
t00028,2013-08-03 21:56:00,2013-08-03,2013-08,2013,21,Saturday,britneyspears,@britneyspearns <3 u too #30MillionBritneyArmy,216,222,0.0049,0.1522,0.843,0.8381,Positive,0.843
t00029,2015-10-20 19:04:00,2015-10-20,2015-10,2015,19,Tuesday,barackobama,Action on climate change can't wait—which is why the Clean Power Plan is so important. https://t.co/pOTxkVudYu,2094,1601,0.005,0.0963,0.8988,0.8938,Positive,0.8988
t00030,2013-04-06 09:37:00,2013-04-06,2013-04,2013,9,Saturday,rihanna,Me and Mama Fenty doing some bday damage! She's radical man! #phuckyobirthday http://t.co/FydiLrgrmY,1001,1359,0.5387,0.3525,0.1088,-0.43,Negative,0.5387
t00031,2012-10-22 19:44:00,2012-10-22,2012-10,2012,19,Monday,rihanna,Smokin Diamonds http://t.co/HzJbTRa9,2658,4926,0.0156,0.8193,0.1651,0.1495,Neutral,0.8193
t00032,2013-04-22 22:19:00,2013-04-22,2013-04,2013,22,Monday,rihanna,“@AdrianaLima: Very emotional on Rihanas concert....” Love this woman,1031,1045,0.0033,0.0221,0.9746,0.9713,Positive,0.9746
t00033,2013-05-31 01:27:00,2013-05-31,2013-05,2013,1,Friday,katyperry,"Psst. I do not have an Instagram account. Well, yet.",4899,6274,0.136,0.8123,0.0517,-0.0844,Neutral,0.8123
