matrix_row,matrix_order,cluster,cluster_name,count,row_total,proportion
P1 · General Information,0,0,Physical Education & Sports,0,17,0.0
P1 · General Information,0,1,"Fees, Aid & Student Services",3,17,0.1765
P1 · General Information,0,2,Biology & Chemistry,0,17,0.0
P1 · General Information,0,3,Language Learning,0,17,0.0
P1 · General Information,0,4,"Math, Computer Science & Data Science",0,17,0.0
P1 · General Information,0,5,Grading & Placement Credit,0,17,0.0
P1 · General Information,0,6,"Society, Culture & Global Humanities",0,17,0.0
P1 · General Information,0,7,"Degree Credits, Matriculation & Transfer",12,17,0.7059
P1 · General Information,0,8,"Registration, Leave & Academic Calendar",0,17,0.0
P1 · General Information,0,9,"Politics, Economics & Behavior",0,17,0.0
P1 · General Information,0,10,Major Requirement Lists & Electives,0,17,0.0
P1 · General Information,0,11,Environment & Global Health,1,17,0.0588
P1 · General Information,0,12,Interdisciplinary Seminars & Advising,0,17,0.0
P1 · General Information,0,13,Media & Arts,0,17,0.0
P1 · General Information,0,14,Asia Studies,1,17,0.0588
P2 · A Liberal Arts Education at Duke Kunshan University,1,0,Physical Education & Sports,0,6,0.0
P2 · A Liberal Arts Education at Duke Kunshan University,1,1,"Fees, Aid & Student Services",0,6,0.0
P2 · A Liberal Arts Education at Duke Kunshan University,1,2,Biology & Chemistry,0,6,0.0
P2 · A Liberal Arts Education at Duke Kunshan University,1,3,Language Learning,0,6,0.0
P2 · A Liberal Arts Education at Duke Kunshan University,1,4,"Math, Computer Science & Data Science",0,6,0.0
P2 · A Liberal Arts Education at Duke Kunshan University,1,5,Grading & Placement Credit,0,6,0.0
P2 · A Liberal Arts Education at Duke Kunshan University,1,6,"Society, Culture & Global Humanities",0,6,0.0
P2 · A Liberal Arts Education at Duke Kunshan University,1,7,"Degree Credits, Matriculation & Transfer",4,6,0.6667
P2 · A Liberal Arts Education at Duke Kunshan University,1,8,"Registration, Leave & Academic Calendar",0,6,0.0
P2 · A Liberal Arts Education at Duke Kunshan University,1,9,"Politics, Economics & Behavior",0,6,0.0
P2 · A Liberal Arts Education at Duke Kunshan University,1,10,Major Requirement Lists & Electives,0,6,0.0
P2 · A Liberal Arts Education at Duke Kunshan University,1,11,Environment & Global Health,0,6,0.0
P2 · A Liberal Arts Education at Duke Kunshan University,1,12,Interdisciplinary Seminars & Advising,2,6,0.3333
P2 · A Liberal Arts Education at Duke Kunshan University,1,13,Media & Arts,0,6,0.0
P2 · A Liberal Arts Education at Duke Kunshan University,1,14,Asia Studies,0,6,0.0
P3 · The Curriculum,2,0,Physical Education & Sports,0,47,0.0
P3 · The Curriculum,2,1,"Fees, Aid & Student Services",3,47,0.0638
P3 · The Curriculum,2,2,Biology & Chemistry,0,47,0.0
P3 · The Curriculum,2,3,Language Learning,4,47,0.0851
P3 · The Curriculum,2,4,"Math, Computer Science & Data Science",1,47,0.0213
P3 · The Curriculum,2,5,Grading & Placement Credit,0,47,0.0
P3 · The Curriculum,2,6,"Society, Culture & Global Humanities",0,47,0.0
P3 · The Curriculum,2,7,"Degree Credits, Matriculation & Transfer",13,47,0.2766
P3 · The Curriculum,2,8,"Registration, Leave & Academic Calendar",0,47,0.0
P3 · The Curriculum,2,9,"Politics, Economics & Behavior",0,47,0.0
P3 · The Curriculum,2,10,Major Requirement Lists & Electives,14,47,0.2979
P3 · The Curriculum,2,11,Environment & Global Health,0,47,0.0
P3 · The Curriculum,2,12,Interdisciplinary Seminars & Advising,12,47,0.2553
P3 · The Curriculum,2,13,Media & Arts,0,47,0.0
P3 · The Curriculum,2,14,Asia Studies,0,47,0.0
"P4 · Admission, Scholarships and Financial Aid",3,0,Physical Education & Sports,0,20,0.0
"P4 · Admission, Scholarships and Financial Aid",3,1,"Fees, Aid & Student Services",6,20,0.3
"P4 · Admission, Scholarships and Financial Aid",3,2,Biology & Chemistry,0,20,0.0
"P4 · Admission, Scholarships and Financial Aid",3,3,Language Learning,1,20,0.05
"P4 · Admission, Scholarships and Financial Aid",3,4,"Math, Computer Science & Data Science",0,20,0.0
"P4 · Admission, Scholarships and Financial Aid",3,5,Grading & Placement Credit,3,20,0.15
"P4 · Admission, Scholarships and Financial Aid",3,6,"Society, Culture & Global Humanities",0,20,0.0
"P4 · Admission, Scholarships and Financial Aid",3,7,"Degree Credits, Matriculation & Transfer",5,20,0.25
"P4 · Admission, Scholarships and Financial Aid",3,8,"Registration, Leave & Academic Calendar",5,20,0.25
"P4 · Admission, Scholarships and Financial Aid",3,9,"Politics, Economics & Behavior",0,20,0.0
"P4 · Admission, Scholarships and Financial Aid",3,10,Major Requirement Lists & Electives,0,20,0.0
"P4 · Admission, Scholarships and Financial Aid",3,11,Environment & Global Health,0,20,0.0
"P4 · Admission, Scholarships and Financial Aid",3,12,Interdisciplinary Seminars & Advising,0,20,0.0
"P4 · Admission, Scholarships and Financial Aid",3,13,Media & Arts,0,20,0.0
"P4 · Admission, Scholarships and Financial Aid",3,14,Asia Studies,0,20,0.0
P5 · Financial Information,4,0,Physical Education & Sports,0,27,0.0
P5 · Financial Information,4,1,"Fees, Aid & Student Services",13,27,0.4815
P5 · Financial Information,4,2,Biology & Chemistry,0,27,0.0
P5 · Financial Information,4,3,Language Learning,0,27,0.0
P5 · Financial Information,4,4,"Math, Computer Science & Data Science",0,27,0.0
P5 · Financial Information,4,5,Grading & Placement Credit,0,27,0.0
