author,sentiment,count
arianagrande,Negative,6
arianagrande,Neutral,21
arianagrande,Positive,115
barackobama,Negative,12
barackobama,Neutral,80
barackobama,Positive,89
britneyspears,Negative,2
britneyspears,Neutral,13
britneyspears,Positive,141
cnnbrk,Negative,39
cnnbrk,Neutral,66
cnnbrk,Positive,3
cristiano,Neutral,25
cristiano,Positive,125
ddlovato,Negative,14
ddlovato,Neutral,14
ddlovato,Positive,97
instagram,Negative,4
instagram,Neutral,63
instagram,Positive,87
jimmyfallon,Negative,4
jimmyfallon,Neutral,75
jimmyfallon,Positive,97
jtimberlake,Negative,7
jtimberlake,Neutral,52
jtimberlake,Positive,80
justinbieber,Neutral,39
justinbieber,Positive,64
katyperry,Negative,15
katyperry,Neutral,52
katyperry,Positive,87
kimkardashian,Negative,7
kimkardashian,Neutral,58
kimkardashian,Positive,114
ladygaga,Negative,9
ladygaga,Neutral,41
ladygaga,Positive,106
rihanna,Negative,11
rihanna,Neutral,40
rihanna,Positive,80
selenagomez,Negative,8
selenagomez,Neutral,47
selenagomez,Positive,115
shakira,Negative,2
shakira,Neutral,59
shakira,Positive,49
taylorswift13,Negative,11
taylorswift13,Neutral,44
taylorswift13,Positive,72
theellenshow,Negative,9
theellenshow,Neutral,45
theellenshow,Positive,169
twitter,Negative,5
twitter,Neutral,57
twitter,Positive,78
youtube,Negative,10
youtube,Neutral,79
youtube,Positive,87
