author,month,mean_sentiment,n_tweets
arianagrande,2015-05,0.8227,5
arianagrande,2015-06,0.4295,8
arianagrande,2015-07,0.754,13
arianagrande,2015-08,0.3808,3
arianagrande,2015-09,0.8162,12
arianagrande,2015-10,0.7455,12
arianagrande,2015-11,0.768,4
arianagrande,2015-12,0.4237,3
arianagrande,2016-01,0.3681,3
arianagrande,2016-02,0.4434,13
arianagrande,2016-03,0.9219,14
arianagrande,2016-04,0.4897,3
arianagrande,2016-05,0.6458,5
arianagrande,2016-07,0.8166,5
arianagrande,2016-08,0.6195,10
arianagrande,2016-09,0.8158,9
arianagrande,2016-10,0.639,5
arianagrande,2016-11,0.4996,4
arianagrande,2016-12,0.7393,5
arianagrande,2017-01,0.9196,6
barackobama,2014-08,0.5437,9
barackobama,2014-09,0.1424,10
barackobama,2014-10,0.6425,12
barackobama,2014-11,0.6899,7
barackobama,2014-12,0.5901,5
barackobama,2015-01,0.3336,13
barackobama,2015-02,0.0121,3
barackobama,2015-03,0.482,11
barackobama,2015-04,0.3495,4
barackobama,2015-05,0.3887,4
barackobama,2015-06,0.4794,9
barackobama,2015-07,0.4976,10
barackobama,2015-08,0.322,6
barackobama,2015-09,0.6103,6
barackobama,2015-10,0.3035,6
barackobama,2015-11,0.5248,5
barackobama,2015-12,0.6832,6
barackobama,2016-01,0.5355,8
barackobama,2016-02,0.3079,4
barackobama,2016-03,0.6516,6
barackobama,2016-04,0.1408,9
barackobama,2016-05,0.1508,5
barackobama,2016-06,0.0898,3
barackobama,2016-07,0.4908,2
barackobama,2016-08,0.5993,4
barackobama,2016-09,0.0979,9
barackobama,2016-10,0.4228,5
britneyspears,2012-10,0.9806,4
britneyspears,2012-11,0.8931,15
britneyspears,2012-12,0.5806,6
britneyspears,2013-01,0.3537,2
britneyspears,2013-03,0.9871,1
britneyspears,2013-04,0.9845,1
britneyspears,2013-05,0.2126,1
britneyspears,2013-06,0.9767,4
britneyspears,2013-07,0.7531,4
britneyspears,2013-08,0.9107,2
britneyspears,2013-09,0.5366,9
britneyspears,2013-10,0.9466,2
britneyspears,2013-11,0.7569,9
britneyspears,2013-12,0.946,21
britneyspears,2014-01,0.8842,2
britneyspears,2014-02,0.9836,2
britneyspears,2014-04,0.9756,3
britneyspears,2014-05,0.9065,2
britneyspears,2014-07,0.9559,1
britneyspears,2014-08,0.9596,3
britneyspears,2014-09,0.9834,2
britneyspears,2014-10,0.9816,1
britneyspears,2014-11,0.9644,1
britneyspears,2014-12,0.9864,2
britneyspears,2015-02,0.9445,3
britneyspears,2015-03,0.915,2
britneyspears,2015-04,0.9821,1
britneyspears,2015-05,0.8365,9
britneyspears,2015-06,0.8542,2
britneyspears,2015-07,0.9778,1
britneyspears,2015-08,0.5876,4
britneyspears,2015-09,0.7437,2
britneyspears,2015-11,0.9857,1
britneyspears,2015-12,0.973,1
britneyspears,2016-03,0.982,2
britneyspears,2016-05,0.7848,1
britneyspears,2016-06,0.9861,1
britneyspears,2016-07,0.9316,3
britneyspears,2016-08,0.9224,14
britneyspears,2016-09,0.7256,2
britneyspears,2016-10,0.9491,3
britneyspears,2016-11,0.9794,3
britneyspears,2017-01,0.9878,1
cnnbrk,2016-07,-0.199,8
cnnbrk,2016-08,-0.332,12
cnnbrk,2016-09,-0.3033,24
cnnbrk,2016-10,-0.3343,15
cnnbrk,2016-11,-0.3149,9
cnnbrk,2016-12,-0.3232,23
cnnbrk,2017-01,-0.4272,17
cristiano,2010-07,0.8194,2
cristiano,2010-09,0.0264,1
cristiano,2010-10,0.9619,1
cristiano,2010-11,0.9717,5
cristiano,2010-12,0.9258,4
cristiano,2011-01,0.8476,8
cristiano,2011-02,0.8813,8
cristiano,2011-04,0.9513,1
cristiano,2011-05,0.8197,2
cristiano,2011-07,0.9852,1
cristiano,2011-09,0.0918,1
cristiano,2011-10,0.8171,3
cristiano,2011-12,0.7075,2
cristiano,2012-02,0.8605,1
cristiano,2012-03,0.0389,1
cristiano,2012-04,0.985,1
cristiano,2012-08,0.9413,3
cristiano,2012-10,0.9815,1
cristiano,2012-11,0.798,1
cristiano,2012-12,0.6355,10
cristiano,2013-01,0.9856,1
cristiano,2013-02,0.98,2
cristiano,2013-03,0.7869,2
cristiano,2013-04,0.0841,1
cristiano,2013-05,0.4155,1
cristiano,2013-06,0.987,2
cristiano,2013-07,0.7698,2
cristiano,2013-08,0.9373,3
cristiano,2013-09,0.7364,1
cristiano,2013-10,0.8611,2
cristiano,2013-11,0.797,4
cristiano,2013-12,0.8514,5
cristiano,2014-01,0.6884,2
cristiano,2014-03,0.7008,2
cristiano,2014-04,0.736,4
cristiano,2014-05,0.7314,3
cristiano,2014-06,0.8401,6
cristiano,2014-07,0.3943,2
cristiano,2014-08,0.7762,1
cristiano,2014-09,0.6225,4
cristiano,2014-10,0.9867,1
cristiano,2014-11,0.7916,1
cristiano,2014-12,0.9598,3
cristiano,2015-01,0.9865,1
cristiano,2015-02,0.2498,1
cristiano,2015-04,0.9712,2
cristiano,2015-05,0.9411,1
cristiano,2015-07,0.2419,1
cristiano,2015-08,0.8765,2
cristiano,2015-09,0.701,5
cristiano,2015-10,0.8781,4
cristiano,2015-11,0.7792,3
cristiano,2015-12,0.2291,1
cristiano,2016-02,0.4242,1
cristiano,2016-03,0.9122,2
cristiano,2016-05,0.672,3
cristiano,2016-07,0.9243,1
cristiano,2016-09,0.9288,1
cristiano,2016-10,0.8571,1
cristiano,2016-11,0.9877,1
cristiano,2016-12,0.7044,5
cristiano,2017-01,0.6804,2
ddlovato,2015-01,0.8008,4
ddlovato,2015-02,0.5862,9
ddlovato,2015-03,0.6479,3
ddlovato,2015-04,0.946,4
ddlovato,2015-05,0.9868,1
ddlovato,2015-06,0.9362,7
ddlovato,2015-07,0.587,8
ddlovato,2015-08,0.5717,8
ddlovato,2015-09,0.6979,3
ddlovato,2015-10,0.8441,18
ddlovato,2015-11,0.7481,13
ddlovato,2015-12,0.4826,4
ddlovato,2016-01,0.6123,6
ddlovato,2016-02,0.7642,5
ddlovato,2016-03,0.462,6
ddlovato,2016-04,-0.0447,2
ddlovato,2016-05,0.079,5
ddlovato,2016-06,0.2671,5
ddlovato,2016-07,0.4929,4
ddlovato,2016-08,0.6288,5
ddlovato,2016-09,0.9656,1
ddlovato,2016-10,0.0347,3
ddlovato,2017-01,0.9883,1
instagram,2015-10,0.8111,4
instagram,2015-11,0.2426,7
instagram,2015-12,0.5164,7
instagram,2016-01,0.5976,8
instagram,2016-02,0.2794,10
instagram,2016-03,0.4033,13
instagram,2016-04,0.4537,11
instagram,2016-05,0.6839,15
instagram,2016-06,0.6342,18
instagram,2016-07,0.4784,11
instagram,2016-08,0.2807,5
instagram,2016-09,0.7134,9
instagram,2016-10,0.588,15
instagram,2016-11,0.4367,6
instagram,2016-12,0.5287,11
instagram,2017-01,0.5102,4
jimmyfallon,2013-09,0.525,6
jimmyfallon,2013-10,0.4407,4
jimmyfallon,2013-11,0.6454,3
jimmyfallon,2013-12,0.5228,2
jimmyfallon,2014-01,0.5092,10
jimmyfallon,2014-02,0.7178,8
jimmyfallon,2014-03,0.6334,11
jimmyfallon,2014-04,0.5992,6
jimmyfallon,2014-05,0.4543,6
jimmyfallon,2014-06,0.6504,3
jimmyfallon,2014-07,0.3429,3
jimmyfallon,2014-08,0.1648,4
jimmyfallon,2014-09,0.2886,7
jimmyfallon,2014-10,0.5237,4
jimmyfallon,2014-11,0.4599,7
jimmyfallon,2014-12,0.5176,6
jimmyfallon,2015-01,0.9845,1
jimmyfallon,2015-02,0.5681,4
jimmyfallon,2015-03,0.5533,1
jimmyfallon,2015-04,0.5693,5
jimmyfallon,2015-06,0.5469,6
jimmyfallon,2015-07,0.7808,6
jimmyfallon,2015-08,0.5541,1
jimmyfallon,2015-09,0.5477,4
jimmyfallon,2015-10,0.8306,3
jimmyfallon,2015-11,0.2948,7
jimmyfallon,2015-12,0.8453,6
jimmyfallon,2016-01,0.6116,2
jimmyfallon,2016-02,0.2593,6
jimmyfallon,2016-03,0.3392,2
jimmyfallon,2016-04,0.9657,1
jimmyfallon,2016-05,0.5387,3
jimmyfallon,2016-06,0.3767,3
jimmyfallon,2016-07,0.0432,4
jimmyfallon,2016-08,0.4523,5
jimmyfallon,2016-09,0.7468,4
jimmyfallon,2016-10,0.6112,7
jimmyfallon,2016-11,0.0077,3
jimmyfallon,2016-12,0.3854,1
jimmyfallon,2017-01,0.5217,1
jtimberlake,2010-06,0.8662,1
jtimberlake,2011-05,0.1831,1
jtimberlake,2011-07,0.4296,7
jtimberlake,2011-08,0.7832,2
jtimberlake,2011-09,0.687,1
jtimberlake,2011-10,0.3581,6
jtimberlake,2012-03,0.578,6
jtimberlake,2012-04,0.523,4
jtimberlake,2012-05,0.1044,7
jtimberlake,2012-06,0.3662,4
jtimberlake,2012-07,0.3679,1
jtimberlake,2012-08,0.7192,6
jtimberlake,2012-09,0.4152,8
jtimberlake,2012-10,-0.6417,1
jtimberlake,2012-12,0.3938,4
jtimberlake,2013-01,0.2249,3
jtimberlake,2013-02,0.6091,2
jtimberlake,2013-03,-0.9283,1
jtimberlake,2013-04,0.0186,1
jtimberlake,2013-06,0.3761,3
jtimberlake,2013-07,0.2295,4
jtimberlake,2013-08,0.6954,3
jtimberlake,2013-09,0.664,9
jtimberlake,2013-11,0.6405,6
jtimberlake,2014-01,0.9747,1
jtimberlake,2014-02,0.0517,3
jtimberlake,2014-03,0.9707,1
jtimberlake,2014-05,0.5975,6
jtimberlake,2014-08,0.7838,1
jtimberlake,2014-09,0.5818,3
jtimberlake,2014-10,0.558,2
jtimberlake,2014-11,0.7129,2
jtimberlake,2014-12,0.5507,3
jtimberlake,2015-01,0.9685,1
jtimberlake,2015-02,0.5934,2
jtimberlake,2015-03,0.9812,1
jtimberlake,2015-04,0.9822,2
jtimberlake,2015-08,0.1606,1
jtimberlake,2015-10,0.9878,1
jtimberlake,2015-12,0.4599,1
jtimberlake,2016-02,0.9152,2
jtimberlake,2016-03,0.9713,1
jtimberlake,2016-04,-0.7955,1
jtimberlake,2016-05,0.7457,8
jtimberlake,2016-07,0.5983,3
jtimberlake,2016-11,0.9707,1
jtimberlake,2016-12,0.9034,1
justinbieber,2015-03,0.7198,2
justinbieber,2015-04,0.5882,3
justinbieber,2015-05,0.5821,6
justinbieber,2015-06,0.3938,6
justinbieber,2015-07,0.6123,7
justinbieber,2015-08,0.6243,11
justinbieber,2015-09,0.5566,9
justinbieber,2015-10,0.6852,7
justinbieber,2015-11,0.5499,15
justinbieber,2015-12,0.7144,3
justinbieber,2016-01,0.7824,2
justinbieber,2016-02,0.5005,2
justinbieber,2016-03,0.7663,7
justinbieber,2016-04,0.6614,5
justinbieber,2016-05,0.8938,1
justinbieber,2016-06,0.3158,2
justinbieber,2016-07,0.6945,6
justinbieber,2016-09,0.1611,2
justinbieber,2016-10,0.3001,1
justinbieber,2016-11,0.7486,4
justinbieber,2016-12,0.7465,2
katyperry,2012-09,0.2311,1
katyperry,2012-11,0.9773,2
katyperry,2013-01,0.9879,1
katyperry,2013-02,0.5372,2
katyperry,2013-03,-0.2504,1
katyperry,2013-04,0.2077,6
katyperry,2013-05,-0.4406,4
katyperry,2013-06,0.2725,1
katyperry,2013-07,0.7169,2
katyperry,2013-08,0.4171,7
katyperry,2013-09,0.5937,6
katyperry,2013-10,0.4379,8
katyperry,2013-11,0.684,3
katyperry,2013-12,0.57,4
katyperry,2014-01,0.7985,4
katyperry,2014-03,-0.211,2
katyperry,2014-04,0.393,8
katyperry,2014-05,0.692,5
katyperry,2014-06,0.7137,3
katyperry,2014-07,0.6282,5
katyperry,2014-08,0.5575,4
katyperry,2014-09,0.9291,2
katyperry,2014-10,0.9894,1
